Date,Open,High,Low,Close,Vol,OI
1/3/05,695.3,695.3,686.1,686.1,6304,208448
1/4/05,686.8,687.7,683,685.6,4768,202128
1/5/05,685.4,685.4,682.3,683.7,3777,196268
1/6/05,683.4,684.7,678,678,3136,188605
1/7/05,675.9,676,674.8,676,3136,176117
1/10/05,676.3,678.7,674.8,676.1,3112,172080
1/11/05,676,679.7,676,678.8,3866,164267
1/12/05,679.4,683,678,683,3673,164973
1/13/05,683,683.7,681.1,681.5,3952,161127
1/14/05,679.3,679.7,679.3,679.7,3952,157529
1/17/05,679.3,679.7,679.3,679.7,198,153374
1/18/05,678.4,679.7,677.8,679.4,2082,153374
1/19/05,679.9,682.5,679,679.7,2506,152151
1/20/05,679.5,679.8,677.6,679,162,145522
1/21/05,685.4,686.1,685.4,685.9,162,138559
1/24/05,683.3,684.5,683.3,683.6,184,68000
1/25/05,683.7,684.4,678.6,678.6,658,89185
1/26/05,678.3,680.5,678,680,496,117822
1/27/05,683.3,684.5,682,682.7,1635,139697
1/28/05,682.5,683.2,682.5,683.2,1635,157641
1/31/05,682.6,683.2,678.4,678.4,1635,162254
2/1/05,678.6,678.9,676.8,677.2,5301,164406
2/2/05,677,679,676.9,677.3,1573,165221
2/3/05,677.1,678.2,672.8,672.8,2053,166932
2/4/05,670.3,670.6,670.1,670.5,2053,164380
2/7/05,670.2,670.9,669.3,669.7,2514,164143
2/8/05,670,670,666.9,668.6,2188,167322
2/9/05,668.3,669.6,667.9,668.8,1876,165755
2/10/05,668.7,673,668.7,673,1846,169088
2/11/05,676.5,676.7,676.2,676.5,1846,168604
2/14/05,676.3,679,676.3,678.3,2902,169324
2/15/05,681.8,681.8,679.3,681.6,3115,171422
2/16/05,681.4,681.7,678.6,681.2,2969,170719
2/17/05,681.4,683.1,679.8,682,2157,170454
2/18/05,683.3,683.4,683,683.2,2157,169862
2/22/05,682.6,690.1,681.7,690.1,6937,172131
2/23/05,690.2,691.7,688.6,690.4,6691,182329
2/24/05,690,692.2,688.8,690,3226,182329
2/25/05,690.4,691,690.3,690.7,3226,185431
2/28/05,690.2,692.7,690.2,692.1,3532,187110
3/1/05,691.9,691.9,688.2,688.2,2540,185316
3/2/05,685.1,685.7,681.3,685.3,4290,186154
3/3/05,685.3,686.1,682.3,682.3,3169,185062
3/4/05,686.8,686.9,686.5,686.8,3171,189208
3/7/05,687.1,688.1,685.7,687.3,2572,185586
